00:00:00:7a:38:47,192.168.10.141,R01
00:00:00:7a:38:e0,192.168.10.142,R02
00:00:00:7a:38:ed,192.168.10.143,R03
00:00:00:7a:39:03,192.168.10.144,BH01
00:00:00:7a:39:06,192.168.10.145,SH01
00:00:00:7a:39:23,192.168.10.101,AP01
00:00:00:7a:39:a7,192.168.10.102,AP02
00:00:00:7a:39:ac,192.168.10.103,AP03
00:00:00:7a:39:af,192.168.10.104,AP04
00:00:00:7a:39:b1,192.168.10.105,AP05
00:00:00:7a:39:bc,192.168.10.106,AP06
00:00:00:7a:39:c4,192.168.10.107,AP07
00:00:00:7a:39:c6,192.168.10.108,AP08
00:00:00:7a:39:cd,192.168.10.109,AP09
00:00:00:7a:39:d5,192.168.10.110,AP10
00:00:00:7a:39:dd,192.168.10.111,AP11
00:00:00:7a:39:e6,192.168.10.112,AP12
00:00:00:7a:39:ec,192.168.10.113,AP13
00:00:00:7a:39:f2,192.168.10.114,AP14
00:00:00:7a:3a:0a,192.168.10.115,AP15
00:00:00:7a:3a:11,192.168.10.116,AP16
00:00:00:7a:3a:1f,192.168.10.117,AP17
00:00:00:7a:3a:35,192.168.10.118,AP18
00:00:00:7a:3a:51,192.168.10.119,AP19
00:00:00:7a:3a:52,192.168.10.120,AP20
00:00:00:7a:50:7e,192.168.10.121,AP21
00:00:00:7a:50:80,192.168.10.122,AP22
00:00:00:7a:50:8d,192.168.10.123,AP23
00:00:00:7a:50:90,192.168.10.124,AP24
00:00:00:7a:50:96,192.168.10.125,AP25
00:00:00:7a:50:9a,192.168.10.126,AP26
00:00:00:7a:50:e9,192.168.10.127,AP27
00:00:00:7a:50:eb,192.168.10.128,AP28
00:00:00:7a:50:ec,192.168.10.129,AP29
00:00:00:7a:50:fb,192.168.10.130,AP30
00:00:00:7a:51:02,192.168.10.131,AP31
00:00:00:7a:51:08,192.168.10.132,AP32
00:00:00:7a:51:09,192.168.10.133,AP33
00:00:00:7a:51:0a,192.168.10.134,AP34
00:00:00:7a:51:35,192.168.10.135,AP35
00:00:00:7a:51:36,192.168.10.136,AP36
00:00:00:7a:51:4a,192.168.10.137,AP37
00:00:00:7a:51:5c,192.168.10.138,AP38
00:00:00:7a:51:5e,192.168.10.139,AP39
00:00:00:7a:51:63,192.168.10.140,AP40